SPY,677967
XIV,661542
IWM,650326
QQQ,634283
AAPL,628294
VXX,474340
XLE,473454
GDX,419330
SVXY,397765
MSFT,394845
YHOO,382668
FB,362445
EWZ,352983
RDS.A,307119
XOP,295474
RIO,295062
AEM,288089
JPM,279923
RDS.B,277819
BUD,276752
COP,275036
TLT,272240
RIG,264758
TNA,264754
DVN,264468
FCX,264185
XLY,263754
GDXJ,263457
EFA,262073
C,254748
UVXY,251915
MET,247197
UWTI,239525
NUGT,233091
HAL,231318
NEM,230976
WDC,229906
SU,229209
CMCSA,228875
SSO,226651
IVV,225137
CVX,224973
DIA,224463
XLV,221709
CNX,219244
INTC,218816
X,218656
ABX,215991
TQQQ,215939
EDC,214892
BP,214111
EEM,213301
NFLX,206464
GG,205552
DGAZ,203521
XOM,203351
SBUX,202267
CSCO,200257
APC,199573
KMI,199332
UGA,198223
FAS,197060
MDY,197029
ERX,196507
MRO,194912
AIG,194879
CNQ,194236
IYR,193626
MU,192008
SLW,191811
UCO,191241
SHPG,190630
ATVI,190421
GILD,189561
OAS,187324
NVDA,186405
BBL,182368
CUK,182000
CAM,179157
DAL,179078
SLB,178205
WFC,177892
MS,176997
VZ,176805
CAT,176283
UPRO,175779
CCL,172556
TXN,172321
FAZ,169603
AMJ,168351
SPXU,168138
XLB,167681
VNQ,167529
BAC,166088
VIXY,166021
ORCL,165390
SCHW,164546
CLR,163462
QEP,162569
AMAT,162037
TCK,161904
TWTR,161428
OIH,161069
USO,161031
DEO,160447
GOOG,159677
PYPL,159619
GOOGL,158877
FNV,156611
QCOM,156263
GOLD,155903
GSK,155655
GLD,155574
POT,155525
MGM,154804
BABA,154453
VWO,153977
SPN,153464
OXY,153367
NE,153271
WMB,152964
ZBIO,152686
WPX,152588
RY,152167
MUR,152085
MAR,151870
PG,151787
WLL,151752
UGAZ,151464
IWO,151213
AAL,150831
STI,150420
TS,150392
DIS,150243
EBAY,150083
XME,149855
VRX,149429
BNS,148394
CRM,148202
SWN,147156
CVE,145776
BMO,145567
ESV,145365
XLI,145052
CSX,144990
PTEN,144395
ABBV,142896
NWL,142360
T,142267
PBR,141806
KRE,141531
PAAS,141075
EOG,139495
CNI,139057
LBTYK,138991
ASML,138580
DDM,137319
APA,137014
FXI,136979
MDT,136253
VLO,135943
UN,135332
XLK,134937
DOW,134826
TGT,134112
LBTYA,134062
VOO,133375
BHP,132948
ZION,132660
JD,132595
MDLZ,132135
GM,132093
SAP,131822
QLD,131506
NBR,131427
ADBE,131364
ACAD,130939
SDS,130645
EDZ,130134
QID,129918
CP,129382
SQQQ,129369
DFS,128913
AXP,128720
V,128236
CTSH,128143
WBA,127581
XLP,127283
XLU,127197
FITB,127070
BA,126608
TZA,126553
HTZ,126106
MRK,125665
USB,125280
IWD,125221
NBL,124836
TD,124591
STX,124138
NVS,123487
LVS,123269
ETFC,123233
BEN,123017
WMT,122945
COG,122248
FOXA,121911
ESRX,121777
PRU,120977
CYH,120744
NOV,120499
KO,120499
HES,120294
VOD,119839
PFE,119647
ITUB,119534
PAYX,118667
MPC,118598
AGU,118272
WFM,117915
RDC,117776
XLF,117620
MYL,117551
UTX,117333
HSBC,117223
PBR.A,117134
DWTI,116968
ETE,116480
RICE,115220
BBT,115215
MGA,114857
XBI,114784
JAH,114389
SM,113204
AMTD,112964
KR,112444
COF,112355
TVIX,111998
CELG,111743
JBLU,111742
GE,111070
HOLX,110630
JOY,109265
BMY,109061
LNC,108983
BK,108819
OKE,108803
ARMH,108674
IP,108422
UL,108393
TOT,798385
XIV,753194
SPY,628204
GDX,520215
QQQ,484237
IWM,483273
AAPL,438004
SVXY,425671
UWTI,411201
XLE,400059
GDXJ,385537
VXX,361799
DVN,361026
XOP,349091
NEM,325588
JDST,319276
MSFT,317609
FB,308947
VRX,302180
ABX,296087
IVV,289060
DUST,279631
SHPG,276795
ERX,263110
LBTYK,255649
UVXY,255367
COP,252149
UCO,251641
RIO,250040
C,246384
WLL,238616
EWZ,231845
GG,228708
BBL,227635
RDS.A,222958
LBTYA,219894
CVX,219051
IYR,217269
CNX,215966
SWN,213667
DIA,213360
BHP,212254
JPM,210892
SLW,209334
SLB,209123
X,207637
VNQ,206795
GILD,205948
NFLX,203947
BXLT,203886
RDS.B,203641
PAAS,202237
XME,201902
BP,200449
FCX,198245
NVDA,197745
YHOO,197469
TNA,195333
EFA,191810
BAC,191273
MS,190452
PFE,189250
ATVI,189195
CLR,189093
MU,187960
HAL,185435
WDC,183346
DO,182071
CAT,181768
NBL,181306
INTC,181247
DLTR,179815
XLY,179706
FAS,178039
