KR,81118
RIG,80904
AZN,80469
ESV,80323
APA,79927
GPOR,79862
PEP,79803
WMT,79726
CELG,79589
WBA,79572
AXP,79542
NVS,79483
ACN,79268
IBM,78933
ERX,78802
RAI,78502
XLB,78154
BBL,77882
MCD,77706
IWD,77694
TS,77610
AMAT,77607
ETFC,77187
ERJ,76947
ADP,76936
PSX,76826
MA,76752
BEN,76721
DG,76618
BABA,76414
OEF,76125
GT,75867
NXPI,75758
FITB,75436
BAX,75301
MO,75275
GOOG,75225
NOV,75163
SDS,74821
FCX,74467
CSX,74378
XLK,74150
JD,74041
BTI,74014
CLR,73511
TWX,72931
CB,72849
LOW,72826
PNC,72812
HES,72808
UNH,72571
PLD,72477
NUGT,72396
COF,71882
GDX,71521
FXI,71341
ADSK,71156
DEO,70972
ADM,70914
USB,70906
FAST,70899
HSBC,70716
UPS,70671
DHR,70668
AMJ,70627
LNC,70321
EXC,70066
KOLD,69989
YUM,69977
PAYX,69977
DWTI,69956
MAR,69893
TD,69875
VWO,69854
ABBV,69854
