SPY
XIV
QQQ
IWM
AAPL
VXX
XLE
SVXY
GDX
UVXY
MSFT
FB
TOT
XOP
YHOO
TNA
DVN
TLT
RDS.A
ADBE
COP
EWZ
C
UWTI
GDXJ
RIO
JPM
XLY
IVV
DIA
RDS.B
VRX
CVX
EFA
SHPG
XLV
NEM
DGAZ
GILD
BUD
NFLX
ERX
FCX
SLB
UCO
INTC
HAL
XOM
BP
ABX
AEM
CMCSA
IYR
MDY
FAS
TQQQ
VNQ
BBL
SBUX
KMI
LBTYK
ATVI
MS
EEM
RIG
NUGT
TZA
NVDA
BAC
MET
CSCO
CAT
QCOM
APC
OIH
WFC
MRO
SCHW
SU
LBTYA
WMB
SSO
CNX
GG
OAS
IWO
VIXY
X
NBL
CLR
DAL
WDC
TXN
AAL
CCL
UPRO
ORCL
SLW
TWTR
AMAT
XLB
CUK
BABA
USO
PFE
DIS
WLL
ETE
VZ
MU
GOOGL
STX
ASML
EOG
DOW
GSK
STI
PYPL
OXY
GOOG
SWN
PTEN
COG
ESRX
HES
ESV
VOD
MYL
XME
VLO
CNQ
XLI
AMJ
V
MDLZ
BHP
MPC
PAAS
QLD
APA
MRK
TS
T
USB
FOXA
EDC
NOV
XLK
BBT
WBA
CSX
FITB
SPN
QEP
XLP
JDST
FXI
KO
GLD
HSBC
AIG
WPX
MUR
CAM
FNV
SPXU
TCK
FAZ
XLU
GOLD
DUST
POT
KRE
CRM
EBAY
ZION
RICE
RRC
QID
EDZ
VIAB
PG
SAP
M
JNJ
VOO
RY
LVS
MDT
UN
DEO
ABT
GPOR
UTX
PRU
HD
RDC
XBI
CNI
MGA
PSX
TVIX
VWO
BMY
TGT
MAR
CTSH
GE
JOY
CP
WFM
DDM
SQQQ
ARMH
TWM
DFS
BTI
ABBV
UL
ROST
PNC
JBLU
AXP
JD
SDS
BXLT
NVS
IWD
WMT
TWX
ETFC
BEN
UGA
TD
KR
BK
CELG
UAL
ERY
PAYX
ADSK
DWTI
MA
COF
LOW
DO
BAX
DLTR
LNC
