X
M
C
V
T
QQQ
MS
XIV
MU
AAPL
MSFT
MA
GILD
ABX
NEM
HAL
QCOM
JPM
DO
JD
SLW
CVX
KR
XOM
DAL
WDC
NVDA
YHOO
MRO
ABT
MAR
DVN
NFLX
SLB
FNV
GG
CAT
WFC
PAAS
DIS
SCHW
BAC
TXN
ATVI
ADBE
APC
JNJ
HD
CRM
ADSK
MYL
SBUX
INTC
BABA
SU
LVS
MUR
TQQQ
RRC
PG
EBAY
ROST
WMB
CELG
VZ
LOW
BMY
SWN
MRK
COG
USB
KMI
PSX
AEM
CMCSA
PNC
OXY
MET
WPX
OAS
SQQQ
WLL
WMT
AIG
RY
RIG
VLO
GPOR
PTEN
MDT
FCX
PFE
AXP
EOG
UTX
MDLZ
MPC
COP
TD
VIAB
MGA
CNX
COF
GOLD
TGT
ETFC
PAYX
RIO
QEP
UAL
DFS
CSCO
TVIX
JBLU
ABBV
PYPL
DLTR
TWX
PRU
CP
AMAT
STI
FITB
WFM
ORCL
CLR
TLT
LBTYK
RICE
FOXA
ESRX
BBT
BAX
RDS.A
ZION
CSX
BK
BP
KO
LBTYA
CTSH
GE
LNC
NVS
BEN
TS
VOD
RDS.B
SPN
