SPY
IWM
QQQ
XIV
VXX
AAPL
GDX
FB
MSFT
JPM
XLE
UVXY
GDXJ
GLD
C
TLT
X
SSO
EWZ
NUGT
DIA
FAS
BAC
JNUG
IVV
AMD
INTC
VOO
WFC
MU
NEM
BBL
GILD
YHOO
UCO
AMZN
KRE
GOOGL
TNA
XLV
NVDA
RIO
ATVI
CSCO
QLD
ABX
XLY
MS
GOOG
XOP
AEM
QCOM
CSX
EBAY
IYR
GM
SVXY
SHPG
UL
AMAT
SBUX
SQQQ
COP
CLF
CMCSA
TZA
RDS.B
VALE
IWO
VZ
BMY
XLI
T
SLB
HAL
EFA
TSLA
SRTY
DAL
RDS.A
ENB
DOW
UN
MDLZ
JNJ
FCX
PG
SCHW
BBT
TVIX
ORCL
M
NKE
PFE
UWT
NFLX
SLW
XOM
STX
MYL
AMGN
ASML
OIH
MRK
VNQ
CVX
BP
FITB
BRK.B
WMT
MET
GOLD
DRYS
SE
DDM
EEM
SMH
GG
RRC
DVN
ABBV
XLF
V
RF
FOXA
CFG
KO
TBT
PYPL
RY
AAL
XLU
CL
CAT
UPRO
AXP
XLB
XLP
DB
COG
PM
PCLN
TQQQ
DIS
TEVA
STI
GSK
MRO
TMUS
WFM
ATMP
EA
ETFC
TWTR
VRX
SU
TWM
USB
AIG
ZION
NOV
MGM
HD
VIXY
OKE
TS
GE
KEY
NVS
PBR
ECA
NBL
CELG
BABA
CNQ
MO
CF
BK
STLD
FBGX
IWN
GPS
BIIB
BUD
ABT
FXE
CRM
CVS
OAS
EWW
TXN
TECK
IP
DD
PEP
VFC
ESV
GS
TOT
UNH
LUV
EMR
NVO
OXY
WLL
BHP
TJX
COH
KMI
VOD
KSS
ZTS
IWD
RIG
KBE
MDT
FTI
MAT
DWT
FOX
NGG
EXEL
AEP
EWJ
XME
DUK
APC
VALE.P
TGT
SYMC
HSBC
AU
DLTR
CTSH
KHC
JWN
SAP
PAAS
SNY
UGAZ
ITUB
AKS
VWO
DHI
MT
JBLU
XEL
VIAB
BBY
XLK
LOW
IBM
MOS
AZN
ADSK
WDC
ENDP
MCHP
FSLR
LLY
HBAN
PTEN
IYF
IJH
JCI
MUR
DXJ
DGAZ
SM
ADI
PNC
SCO
IVE
PE
DHR
SPXL
XRT
URTY
MCD
WMB
BA
CCL
TRIP
MGA
NUE
IWF
DFS
VLO
LB
POT
WPX
HES
LBTYK
D
SYF
PBR.A
COF
TRP
CP
F
WBA
UTX
CNI
HBI
TD
UNP
ON
BSX
NTAP
CHK
UGA
ATI
YUM
DEO
ADP
USO
LBTYA
UPS
GLW
GIS
MA
SWKS
BBD
EWU
BNS
EXC
WCN
KR
UAL
FNV
HEDJ
NFX
MPC
NBR
WY
TSCO
DISCA
AG
PLD
RDC
NWL
SDOW
WFT
NE
DO
STT
JD
GPOR
DISCK
KATE
ADBE
K
AMTD
VB
CTXS
GT
TROW
SWN
BEN
MDY
PUK
SSRI
XBI
LVS
CTL
DUST
DE
HPQ
RAI
CNX
AKAM
AMX
ED
SO
FXI
MMM
WPPGY
PHG
PAYX
HFC
EOG
LNC
PSX
NRG
ADM
HAS
PHM
TSO
APA
SYT
OCLR
FAZ
URBN
ABB
VTI
SKX
DG
CMS
FXB
VTWV
EXPE
A
SPXU
ROST
ACAD
CERN
CS
CMA
CHD
CBS
PBCT
MAS
MAR
SLV
UHN
MXIM
PPL
COST
JDST
CRH
CRUS
SXL
ESRX
PEG
BIDU
HCP
FXY
BAM
ETP
TSM
VDE
ERX
HST
TRI
IWB
HON
CLR
TTWO
WTID
LM
AFL
FNSR
DISH
ETN
TV
RWM
TSN
SYY
WTIU
CME
BCE
HUN
FIHD
FOSL
ARNC
AEO
SPN
OLN
OEF
NTRS
STM
PRU
PCAR
HPE
BHI
DVY
FEZ
IVZ
BMO
XLNX
CUK
KORS
WEC
CA
IHG
SOXX
AR
LKQ
FL
IPG
HOLX
BBBY
XHB
LEN
CIEN
QEP
OKS
JNPR
STO
CTRP
IDTI
WYNN
BX
FE
CRZO
HOG
DKS
VGK
ETE
JCP
CAG
CBG
UWM
LULU
TOL
LRCX
LPI
EPD
CAR
MFC
BAX
CY
EZA
BKD
EL
SPLK
PVG
LABU
FEYE
HZNP
GME
ALLY
VTV
ALXN
KMX
INTU
FDX
RICE
AVGO
FLS
COTY
ICE
IEFA
SN
FISV
SNI
PCG
CNP
LYB
EWG
EIX
BWA
NAVI
SBH
SDS
FCAU
DOV
PFG
RSX
IR
HIG
ATW
ES
HAIN
FAST
GGP
MRVL
LNT
FLR
RHT
HP
FIS
EQR
AME
FTNT
P
CCJ
ERJ
AKRX
URI
LVLT
HRL
WU
EW
SLF
KIM
EQT
LMT
TMV
SEE
ALL
QID
CDNS
TIF
BTI
NCLH
FLEX
S
KMB
PRXL
DEPO
VEA
DLPH
UAA
MNK
TER
ING
IYE
AMJ
CNC
GPK
YELP
CHS
NXPI
NUAN
UNM
IVW
SWFT
AA
CX
O
LUK
VIV
MDCO
PGR
ACM
BRFS
DDD
VRTX
DNKN
VUG
SRCL
YNDX
ALV
CPB
IBB
IJR
QRVO
TEL
CAH
MMC
IEMG
RH
TXT
PWR
CPE
MNST
SDY
JBL
MSI
ACHC
GLNG
RHI
SLCA
NDAQ
CIT
ITB
OMC
TSU
UDR
RBA
HCA
ABC
NLSN
PBF
WNR
UDOW
CM
NI
IWR
DRE
IYW
RSP
AEE
CDE
THC
SPLS
GNTX
QVCA
FMC
CMC
XRAY
DSW
FBHS
GRMN
IYT
UNG
JEC
RL
TDC
UA
AGU
OZRK
VGT
WM
CVE
WSM
SFM
XYL
EZU
ANF
OII
EWT
SABR
CENX
SH
IWS
SAVE
ETR
GRPN
HCN
EMN
TRGP
MJN
TEX
BLL
IAG
ARRS
SYK
AGN
HLT
LQD
GLPG
PRFZ
THD
RDN
AN
FIEE
CUBE
AGQ
IJJ
USLV
CPN
PTC
SRPT
TRV
VTR
QSR
CLVS
EWC
CYH
LPX
TPX
RCL
SCCO
WYN
EWY
JBHT
ACN
IEF
DVYL
LHO
KLAC
VOYA
SNPS
MBLY
DRI
CCI
YCS
GNC
MLPQ
INFN
ARRY
VFH
IDXX
FDN
YCL
HDS
IAU
CBOE
SPLX
USG
PVH
ZG
CLX
IJK
SCG
TAP
KGC
NWSA
CMI
INCY
RSPP
NEE
AES
NSC
LBRDA
RSG
CCE
TRMB
KSU
VRSN
FMX
CC
CHKP
TRN
CSC
MLPZ
CHRW
SDYL
SBS
IRM
RCI
UBS
MTG
DVA
TSS
VIG
BT
AER
PNR
EGN
KBH
COMM
IWP
BOIL
HRB
R
DYN
DPS
NYCB
OHI
OI
DTE
NRZ
XPO
HYG
PXD
AET
PAA
DECK
FHN
FIVE
ACWI
OC
VO
EXPD
PSQ
UGP
WEN
CBD
WRK
BCS
VIPS
CAKE
VOE
EAT
TAHO
ISBC
UMPQ
ILF
OSK
BG
IONS
VTWO
IYH
ORLY
MPEL
TGNA
EWBC
AMP
RACE
SLM
ITW
RGLD
GPN
TMO
ALK
PX
LPLA
L
BLMN
RTN
AMT
PAH
EXAS
VET
AVP
EWP
EDZ
CE
TTM
OPK
QGEN
HSY
SPR
CHTR
EWI
AGI
AVY
VMW
SPGI
UHS
INFY
CAVM
VBR
SIRI
PACW
CBI
AWK
CB
GXP
NCR
RWR
PBI
XL
FANG
PH
AGG
HRS
PAGP
LLTC
ARMK
APH
JACK
TM
SCZ
SGYP
MTDR
DATA
REGN
WETF
SINA
VNTV
AOS
KKR
SPXS
ECL
CGNX
HL
MOH
GIL
ASR
BMRN
SUM
PPG
MAC
SRC
ABEV
BAK
TWX
SJM
XRX
EUO
DGX
MSCC
FMSA
ALNY
VRSK
ZBH
PDCE
ALGN
IEV
UUP
ST
BERY
EWQ
TTMI
VV
BIG
AJG
SBAC
MPW
LNG
VAR
LUX
ERY
CDK
AVT
CREE
CRI
WB
DLR
AXL
MCO
TBF
LABD
AON
MAN
REG
IGE
UBR
RES
Q
SQ
AGO
LC
TXRH
AGNC
AMKR
GOL
CPG
SNH
EVHC
HTZ
PPC
SEIC
AMH
SPWR
IMMU
